ID,Series,ReleaseYear,Figure,Probability
S01-001,1,2001,Basic [B],1.11
S01-002,1,2001,Basic [E],1.11
S01-003,1,2001,Basic [@],1.11
S01-004,1,2001,Basic [R],1.11
S01-005,1,2001,Basic [b],1.11
S01-006,1,2001,Basic [R(2)],1.11
S01-007,1,2001,Basic [I],1.11
S01-008,1,2001,Basic [C],1.11
S01-009,1,2001,Basic [K],1.11
S01-010,1,2001,Jellybean,13.54
S01-011,1,2001,Pattern,11.46
S01-012,1,2001,Flag,9.38
S01-013,1,2001,Horror,12.5
S01-014,1,2001,SF,12.5
S01-015,1,2001,Cute,14.58
S01-016,1,2001,Animal,8.33
S01-017,1,2001,Artist [Hiroto],4.16
S01-018,1,2001,Artist [Hanakuma],1.04
S01-019,1,2001,Secret [Hiroto],0.52
S01-020,1,2001,Secret [Hazure],1.11
